                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.41305,                0.47354,                0.93993,                0.86969,                0.98235,                0.98689,                0.74495,                 0.9828,                0.70773,                 1.4165,               0.000467,               0.000467,               0.000467
                    139,                0.44218,                0.46325,                0.96305,                 0.9129,                0.92724,                0.98333,                0.74599,                0.97856,                0.72423,                  1.395,             0.00045992,             0.00045992,             0.00045992
                    140,                0.40662,                0.45407,                0.94693,                0.92085,                0.93257,                0.98333,                0.75757,                0.97077,                0.72089,                 1.3691,             0.00045285,             0.00045285,             0.00045285
                    141,                0.39317,                0.43033,                0.94616,                0.95855,                0.94486,                0.99056,                0.74901,                0.97003,                0.71288,                 1.3461,             0.00044578,             0.00044578,             0.00044578
                    142,                0.40433,                0.44784,                0.94321,                0.96229,                0.94084,                0.99056,                0.75259,                0.98503,                 0.7113,                 1.3532,              0.0004387,              0.0004387,              0.0004387
                    143,                0.39776,                0.45505,                0.94296,                0.91726,                0.91353,                 0.9625,                0.74719,                0.98643,                0.69832,                 1.3486,             0.00043163,             0.00043163,             0.00043163
                    144,                0.40621,                0.48008,                0.95946,                0.97326,                0.87618,                0.97792,                0.75564,                0.97143,                0.66461,                 1.3202,             0.00042456,             0.00042456,             0.00042456
                    145,                0.41488,                0.45824,                0.94341,                0.88652,                0.98349,                0.98158,                 0.7563,                0.98079,                0.63705,                  1.319,             0.00041748,             0.00041748,             0.00041748
                    146,                0.39396,                0.43422,                0.94271,                0.91987,                0.94059,                 0.9813,                0.75868,                0.91906,                0.63021,                 1.2691,             0.00041041,             0.00041041,             0.00041041
                    147,                0.42523,                0.45834,                0.97561,                0.91605,                0.98256,                0.97648,                0.77943,                0.86144,                0.60963,                 1.2278,             0.00040334,             0.00040334,             0.00040334
                    148,                0.38912,                0.44234,                0.92974,                0.92703,                0.98049,                0.98574,                0.79162,                0.87181,                0.58055,                 1.2166,             0.00039626,             0.00039626,             0.00039626
